faq_id,category,question,answer,keywords
FAQ001,General,How do I access my internship portal?,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.","portal, login, access"
FAQ002,Attendance,How do I mark my daily attendance?,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,"attendance, check in, daily attendance"
FAQ003,Attendance,What should I do if I forget to mark attendance?,Inform your supervisor or HR as soon as possible and explain the missed attendance entry. Follow the organization's correction procedure.,"attendance, forgot, correction"
FAQ004,Tasks,Where can I see my assigned tasks?,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,"tasks, assignments, dashboard"
FAQ005,Tasks,What should I do if I do not understand a task?,"Read the task description first, then ask your supervisor or mentor for clarification. Mention the exact part that is unclear.","task, clarification, mentor, supervisor"
FAQ006,Submission,How do I submit an internship task?,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.","submit, task, upload, assignment"
FAQ007,Deadline,What if I cannot finish a task before the deadline?,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.","deadline, extension, late, task"
FAQ008,Mentoring,How can I contact my mentor?,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.","mentor, contact, communication"
FAQ009,Leave,How do I request leave?,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,"leave, vacation, absence"
FAQ010,Certificate,How can I receive my internship certificate?,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,"certificate, completion, HR"
FAQ011,Technical,What should I do if I cannot access a required software tool?,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.","software, access, technical, tool"
FAQ012,Git,How do I submit code using Git?,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.","git, github, code, repository"
FAQ013,Training,Where can I find internship training material?,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.","training, material, learning"
FAQ014,Feedback,How can I receive feedback on my work?,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,"feedback, review, mentor"
FAQ015,Performance,How is intern performance evaluated?,"Performance may be evaluated using task completion, work quality, attendance, communication, learning progress, teamwork, and supervisor feedback.","performance, evaluation, review"
FAQ016,Working Hours,What are the expected internship working hours?,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.","working hours, schedule, timing"
FAQ017,Communication,Which channel should I use for urgent issues?,Use the official urgent communication channel defined by your internship team and notify your supervisor when the issue affects a deadline or project.,"urgent, communication, supervisor"
FAQ018,Remote Work,What should I do if I have an internet problem while working remotely?,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.","remote, internet, connectivity"
FAQ019,Projects,Can I ask for help with my project?,"Yes. Try to understand and investigate the problem first, then ask your mentor or team member with a clear explanation of what you tried.","project, help, mentor"
FAQ020,HR,Who should I contact for HR-related questions?,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,"HR, coordinator, support"
