ticket_id,intern_id,query,category,subject,resolution,status
TKT0001,INT029,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0002,INT190,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0003,INT063,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0004,INT036,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0005,INT027,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0006,INT190,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0007,INT140,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0008,INT152,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0009,INT009,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0010,INT024,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0011,INT060,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0012,INT155,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0013,INT144,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0014,INT184,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0015,INT180,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0016,INT108,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0017,INT115,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0018,INT072,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0019,INT223,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0020,INT195,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
