intern_id,feedback,satisfaction_rating,sentiment
INT-0001,The training was insufficient and I needed more help. More regular meetings would be helpful.,1,Negative
INT-0002,I was unhappy with the lack of communication. I would recommend the internship.,1,Negative
INT-0003,"The learning opportunities were reasonable. Overall, this was my experience.",3,Neutral
INT-0004,I felt unsupported during most of the internship.,1,Negative
INT-0005,I received good guidance and felt confident completing my tasks.,4,Positive
INT-0006,I received very little feedback about my work. I think the program can be improved.,2,Negative
INT-0007,I received good guidance and felt confident completing my tasks. I think the program can be improved.,4,Positive
INT-0008,I really enjoyed working with the team. I would like more opportunities like this.,5,Positive
INT-0009,The training was insufficient and I needed more help. More regular meetings would be helpful.,2,Negative
INT-0010,I completed my work and received some feedback from my mentor.,3,Neutral
INT-0011,There was confusion about responsibilities and deadlines. More regular meetings would be helpful.,1,Negative
INT-0012,I received good guidance and felt confident completing my tasks. I would recommend the internship.,5,Positive
INT-0013,The internship did not provide enough practical learning. More regular meetings would be helpful.,2,Negative
INT-0014,The company provided a positive learning environment. More regular meetings would be helpful.,5,Positive
INT-0015,There was confusion about responsibilities and deadlines. More regular meetings would be helpful.,1,Negative
INT-0016,My mentor was unavailable and I did not receive enough guidance. I would like more opportunities like this.,1,Negative
INT-0017,The internship did not provide enough practical learning. I would recommend the internship.,1,Negative
INT-0018,There was confusion about responsibilities and deadlines. I would like more opportunities like this.,1,Negative
INT-0019,"I completed my work and received some feedback from my mentor. Overall, this was my experience.",3,Neutral
INT-0020,I really enjoyed working with the team. I would like more opportunities like this.,4,Positive
INT-0021,The tasks were interesting and helped me build my skills. I would like more opportunities like this.,5,Positive
INT-0022,"The communication with my mentor was clear and helpful. Overall, this was my experience.",5,Positive
INT-0023,"The training was insufficient and I needed more help. Overall, this was my experience.",1,Negative
INT-0024,I felt unsupported during most of the internship. I would recommend the internship.,2,Negative
INT-0025,"My mentor was supportive and explained tasks clearly. Overall, this was my experience.",4,Positive
INT-0026,I was unhappy with the lack of communication. I would recommend the internship.,2,Negative
INT-0027,There was confusion about responsibilities and deadlines. I think the program can be improved.,2,Negative
INT-0028,There was confusion about responsibilities and deadlines. I think the program can be improved.,1,Negative
INT-0029,The internship was disappointing and I did not learn enough. I would like more opportunities like this.,2,Negative
INT-0030,The company provided a positive learning environment. I would recommend the internship.,5,Positive
INT-0031,I enjoyed the projects and gained useful practical skills. I would like more opportunities like this.,5,Positive
INT-0032,I received good guidance and felt confident completing my tasks. I would recommend the internship.,5,Positive
INT-0033,I felt unsupported during most of the internship. I think the program can be improved.,2,Negative
INT-0034,I received good guidance and felt confident completing my tasks. I would like more opportunities like this.,5,Positive
